tweets,label
"#Kasganj घरेलू झगड़े में युवक ने लगाई फांसी, पिता की जगह बड़े भाई को मिली थी नौकरी, आर्थिक तंगी के चलते परेशान था युवक, सोरों के लहरा रोड़ मस्जिद के पास का मामला। @kasganjpolice @Uppolice #policemedianews",non-hostile
"C -  कमीनी

O - ओछी

N - नग्न

G - गांड़ू

R -  रखैल अंग्रेजो की

E - इस्लामीक

S - सेक्सलाम

S - शरिया कानून की 

पक्ष लेने वाली पार्टी!!👍
🔃 https://t.co/lyTWVgPq6x",hate
"पालघर साधु हत्या काण्ड में महाराष्ट्र गवर्नमेंट तोह हिजड़ा और नामर्द बन के बैठा है।लेनिन  जनता media,और सनातन धर्म को फॉलो करने वाले क्यों हिजडॉ,ना मर्द बने हो।इंसाफ़ कब मिलेंगा?",offensive
सोसायटी के अंदर और आसपास घूमना भी मना है।,fake
"कोंग्रेसी को समझाना ——- मतलब घदे को समझाना——— साले एसे डीट है 
रगों में ग़ुलामी का खून भरा है केसे समझेंगे नहीं समझेंगे 😡उनको लगता है भारत चमचों के बाप की जागीर है!!
 BJP भाजपा तो जेसे—
 कोई काम ढंग से कर ही नहीं रही!!
 तुमको नहीं लगेगा क्यूँ की तुम ग़ुलाम हो कोंग्रेस के ???",defamation
"#ShareMarket: 38900 पर बंद हुआ #Sensex, भारती एयरटेल के शेयर चढ़े

https://t.co/K66DbF0cuM",non-hostile
"देखो देखो देखो दुनिया वालों।
अदालत के फैसले की दुहाई कौन दे रही है।

जिसका बाप खुद हुक्मरान रहते हुए सुप्रीम कोर्ट के फैसले को अपने लोले पे रखकर संसद में सबसे बड़े कोर्ट के आदेश की गान मार लिया था 🤣🤣✊💦💦",hate
"@PrabhatSomvansh: कमबख्त न्यूज़ चैनल वाले भी क्या-क्या हैडिंग देते हैं...😊😊

रिया  संतुष्ट नहीं कर पाई CBI को ...आज फिर गेस्ट हाउस बुला…",defamation
"@prashant_RSSorg: हिंदू लडकियां लव जेहाद की शिकार हैं,और हिंदू लडके जातिवाद के.....
सुधर जाओ समय है 
🚩जय श्री राम🚩",hate
@New_India9 @Ashok_424 कुतिया अब तू किसकी चापलूसी करते फिर रही है।,offensive
"यूपी: पीएम रिपोर्ट में खुलासा- कार्डियक अरेस्ट से हुई थी पूर्व विधायक निर्वेंद्र की मौत, जांच के लिए समिति गठित

https://t.co/IC4YBI7nll",non-hostile
"India-China Rift: लद्दाख में BRO ने लगाई नई मशीनें, बनाया जा रहा है सैनिकों के लिए बेहतर रास्ता
#HindiNews
https://t.co/NPE45mDZW7",non-hostile
"यूज़र का केवाईसी (नो योर कस्टमर) निलंबित कर दिया गया है और उन्हें इसे पुनः सक्रिय करने के लिए एक नंबर पर कॉल करना होगा ।

",fake
अमरीका में कई खिलाड़ी खेलने से इनकार क्यों कर रहे हैं? https://t.co/VT1v6ZYWjI,non-hostile
"#Bulandshahr दहेज न मिलने पर पत्नी को दिया तलाक, 3 तलाक देकर पत्नी को घर से निकाला, महिला के साथ पति करता था मारपीट, पीड़िता की तहरीर पर मुकदमा दर्ज, खानपुर पुलिस मामले की जांच में जुटी. @bulandshahrpol @Uppolice #policemedianews",non-hostile
"टाइम्स नाऊ चैनल कुछ दिन से देश में धर्मांतरण पर स्पेशल प्रोग्राम दिखा रहा है। उसमें यह बात सामने आई है आंध्र प्रदेश में ईसाई आबादी 25 प्रतिशत के ऊपर हो चुकी है। जबकि काग़ज़ों में ये सिर्फ़ 2.5 प्रतिशत हैं। यही हाल पूरे देश में है।

#StopConversionKilling",hate
"और तेरी औकात है पंचर बनाने की
जा पंचर बना
मनुस्मृति तेरे जैसे जाहिलो के समझ में नहीं आयेगी
दिल्ली में दलित विनोद का सुना है पता है तुम लोगो ने क्या किया था?
कर्ण,एकलव्य अबे जाहिल जा पहले पूरा पढ़ 
कौन क्या था
मदरसे की पढ़ाई में तुझे कहा से पता चलेगा",offensive
"मुम्बई: मुम्बई के माटी गांव में कोरोना पेटेंट के मटने के बाद उस व्यक्ति की डेड बॉडी को नहलाते वक्त समझ आया कि मृत इंसान के बॉडी से सभी महत्वपूर्ण अंग किडनी लिवर हार्ट और गायब है|
",fake
महाराष्ट्र सरकार ने कंगना को सुरक्षा मिलने पर आश्चर्य जताया https://t.co/RcXuf41Bqb,non-hostile
इन सबका रेट ५०० ही क्यों लगता है चाहे पत्थरबाजी करना हो शाहीन बाग जैसा धरना करना हो टुकड़े टुकड़े गैंग का साथ देना हो ऐसे लोगों का रेट फिक्स है क्या ५०० रुपया,offensive
मुंबई में लगे पाकिस्तान जिंदाबाद के नारे #ठाकरे सरकार में #सपा पार्टी के कोटे से मंत्री #अब्बूआजमी के सामने लगते रहे पाकिस्तान जिंदाबाद के नारे किस दिशा में है देश को लेकर जाना चाहते हैं यह लोग देखते हैं ?,hate
"भारतीय सेना ने कूट कूट कर तुम्हारे चीनी भाइयों को मोर बना दिया है...अब RR शुरू करो...🤣

#IndianArmyRock",offensive
"#France की व्यंग्य पत्रिका 'चार्ली हेब्दो ने 2015 के आतंकवादी हमले के बाद एक बार फिर पैगंबर मोहम्मद का कार्टून प्रकाशित किया है।

https://t.co/yifcQm6tGf",non-hostile
"अब गुजरात की एक #मज्जिद में हथियारों का जखीरा मिला….इन #शांतिदूतों द्वारा कुछ तो #साजिशरची जा रही है , भारत की सुरक्षा एजेंसियों को सतर्क रहना होगा प्रत्येक #मज्जिद_मदरसों की गहन जांच की जरूरत है !",fake
बीजेपी आर एस एस की ट्विटर  फॉलोअर्स चोरी करने में लगी है,defamation
"कोरोना केस बढ़ने के लिए तबलीगी जमात को जिम्मेदार ठहराने वाली गोदी मीडिया, क्या अब BJP को भारतीय जमात पार्टी कहेगी?",defamation
"बिहार में नए सिलेबस से मदरसा के बच्चों की होगी पढ़ाई, लॉकडाउन में शिक्षकों को दी गई ट्रेनिंग

#Bihar #Madrasas 

https://t.co/rNEH5JZLek",non-hostile
"ये है ""बेटी बचाओ,बेटी पढ़ाओ"" भाजपा के जोरदार नारे।किनसे बचाओ?बेटियों के साथ यूपी हो या बिहार सभी जगहों पर भेड़-बकरी की तरह दुर्व्यवहार हो रहा। मोदी तेरे राज में बेटियां लुट गईं भरी बाजार में। जिस देश में बेटियों की ऐसी दुर्दशा हो तो हर मांओं को क्या करना चाहिए?",hate
"इंदौर में बीजेपी नेता हाजी इनायत हुसैन का निराला स्वागत हुआ और फिर क्या था  हुआ जमकर  धुलाई भक्तों की नींद हराम 
उन लोगों का कहना है कि कहीं मेरा भी नंबर न आ जाए  😂😂",defamation
"एक साल पहले जम्मू कश्मीर को अनुच्छेद 370 से आजादी मिल चुकी है।

ये साल जम्मू कश्मीर की एक नई विकास यात्रा का है।

ये साल जम्मू कश्मीर में महिलाओं, दलितों को मूलभूत अधिकार देने का रहा है।

ये जम्मू कश्मीर में शरणार्थियों के गरिमापूर्ण जीवन का भी एक साल है। #AatmaNirbharBharat https://t.co/JbpAxDBHUj",non-hostile
"#Alwar #बहरोड़: हरियाणा के पेट्रोल पंप पर तोड़फोड़ और मारपीट

गांव जटराणा में पेट्रोल पंप पर दर्जनों लोगों ने दिया अंजाम, परसों रात तो तोड़फोड़ के साथ सेल्समैन से की मारपीट, 20 हजार रुपए लूटकर ले जाने की भी रिपोर्ट...
@AlwarPolice #RajasthanWithFirstIndia",fake
"@ashutosh83B अमेरिका ने यात्रा के लिए पाकिस्तान की रेटिंग में सुधार करते हुए इसे लेवल-3 कर दिया है जबकि भारत अभी भी रेटिंग 4 के साथ यात्रा नहीं करने के परामर्श वाले देशों में शामिल है. इस लिस्ट में भारत के अलावा सीरिया, यमन, ईरान और इराक जैसे हिंसा प्रभावित देशों को शामिल किया गया है.",hate
"चीन के प्रधानमंत्री ने सारे मस्जिदों के ताला खोलने व नमाज़ व कूरान पढ़ने का आदेश जारी किया.
कोरोना वायरस का इलाज सिर्फ कुरान में है.
",fake
"RT @Rofl_RavishNDTV: जब दिल्ली में जेएनयू के छात्रों को मारा जा रहा था..!!

तब मोटा भाई ने पुलिस प्रशासन को यूनिवर्सिटी के अंदर जाने की इजा…",hate
मसूद अजहर अगर तुझे तेरे मुस्लिम भाइयों की इतनी चिंता है तो चीन में तेरे अपनो पर खूब अत्याचार हो रहे है । क्या इस बात के लिए चीन को इसका जवाब नही देगा तू ।,hate
"@Shahbaz__11 @AcharyaPramodk 70 सालो मे तो पप्पू सरकार ने भारत को अमेरिका बना कर दिया था ना 
देश कि मा चोद कर दी लुटेरो ने 
और तू साला बकवास करता है 
 इसे अच्छे से पडना झाहिल https://t.co/qFUmHhz0hW",hate
"जितने बु रों का अचार डाले बैठे हो, मुझे ही दे देते। कुछ तो मजा आता।
साला अच्छी खासी बु रों का मुरब्बा बना के रख दिया।",offensive
"मित्रों भारत का वह नकली परिवार का नाम बताओ ❓
जो अपने आप को भारत रत्न दे देता है.😂😂",defamation
भारतीय सेना द्वारा पांच चीनी सैनिकों को गोली मारने के बाद कम्युनिस्ट पार्टी के नेताओं ने दिल्ली में रैली की। बड़ा दुर्भाग्य है।,fake
@Dr_Uditraj बच्चे बेचने की तो दूर की बात आपने पीछे की खबर नहीं सुने भुखमरी गरीब के कारण जिस्म की सौदा कर रहा था ठेकेदार काम देने के नाम पर भाई देश बिल्कुल बर्बाद हो गई है 80 परसेंट नागरिक दाने दाने के लिए मोहताज अंग्रेजों के जमाने में जो हालत थी वही हाल अब है,hate
कमीनी औरत ये लेहरू नहीं है।ये चीन को और तेरे जैसे कमीनी को जहां से निकलीं है वहीं.... https://t.co/ZdDp7AXxzH,offensive
"केन्‍द्र ने उच्‍चतम न्‍यायालय को बताया है कि विमान कंपनियां लॉकडाउन के दौरान खरीदे गए टिकटों की पूरी राशि वापस करेंगी व अन्य समाचार 

#समाचारप्रभात

https://t.co/WNeWnYjsrs",non-hostile
@Muhamma27329770 @kamaalrkhan @KRKBoxOffice बस BSDK करवाई लियेऊ बेज्जती साले बकरीचोद,offensive
कुछ वेबसाइट PM- Kusum योजना के नाम पर ऑनलाइन रजिस्ट्रेशन करा रही हैं।,fake
"#SanjaySingh बहुत बड़ा सुअर है साला
#संजय_सिंह_गुंडा_हैं",offensive
जब पाकिस्तान चीन से  कर्ज लेती है तो छिनरा छिनरी पत्रकार देशद्रोही न्यूज़ चैनल खबर दिखाती है पूरा पाकिस्तान चाइना के कब्जे में चली गई अब यह देशद्रोही मोदी की सरकार चाइना से कर्ज  लिया क्या अब भारत  पर भी चाइना की कब्जा हो गई,defamation
"@sambitswaraj राहुल गांधी - Maa मैं अगले 4 साल क्या करूंगा 🙃

सोनिया गांधी - बेटा TV रिचार्ज कर दिया है बैठकर छोटा भीम देख.😂😂😂",hate
"पाकिस्तान में एक पिता का अपनी बेटी की शादी पर उसे प्यार से किस करने वाला वीडियो वायरल हुआ. सिर्फ़ पाकिस्तान ही नहीं, इंडिया में भी भद्दे कमेंट्स के साथ इसे शेयर किया गया. ये इतना बढ़ गया कि शादी में मौजूद वीडियो बनाने वाले को सच्चाई बतानी पड़ी.",defamation
"#BreakingNews | उत्तर पश्चिम दिल्ली क्षेत्र में मुठभेड़ के बाद बब्बर खालसा इंटरनेशनल (BKI) के दो आतंकवादियों को गिरफ्तार, भारी मात्रा में हथियार और गोला-बारूद बरामद https://t.co/2gyIRteiih",non-hostile
"इनकी जबान भी 56 इंची के नाम से फालतू में बदनाम है। 

कभी शिक्षामंत्री पोखरियाल जी का भाषण सुनो!!
अगर पूरा बिना स्किप किये सुन सकते हो तो मैं मान लूंगा आप असली योद्धा हैं। 

नमो नमो 🚩🚩😂😂😂",defamation
"पहले दूध का रंग भगवा होता था। हमारी धार्मिक भावना आहत होते देख मौला ने उसका रंग हरा कर दिया। मुशरिक को यह रास नहीं आया, उसने फिर से हरे दूध को भगवा कर दिया। फिर अल्लाह और मुशारिकों के बीच जंग छिड़ गई। इसका फायदा जीजस ने उठा लिया और दूध का रंग उजला कर दिया 
फतवाGreen 📗:उजला दूध हराम है",offensive
"कॉल मी ...मैं अभी फ्री हूँ

",fake
कंगना रनौत बिहार में बीजेपी के लिए चुनाव करेंगी प्रचार,fake
"@NayeemZafar1 @DrMerajINC @azizkavish @khanashraf045 @Nagrik18 @ShaikhHuzaifa01 @WasimAkramTyagi @SRiitu @_shahrukhansari @Mohamma60366517 @_garrywalia बाईकाट करो दोनों कमिने को दोगले को
Unfollow भी करो दोगले को 
#unfollow

@shanu_sab 
@007AliSohrab",offensive
"@sonamakapoor साली हलकट्ट तेरी कुछभी औक़ात है की तू बोलीवुड में काम करे?तेरा बाप,चाचा की वजह से ही तू है वर्ना तेरी तो थोड़ी सी भी औक़ात नहीं,लायक़ ही नहीं है तू साली हरामी तेरी तो पप्पू से भी तुलना नहीं कर सकते क्यूँकि तू इतनी भी लगके नहीं है।nepotism's से पैदा हुई द्रग्गी,शराबी कमीनी।",hate
"न भक्ति न श्रद्धा न ज्ञान !!
ईवेन्ट,मैनेजमेन्ट और अपना बखान  !!
चप्पल जूते पहन कर कौन जाता है मंदिरों में @narendramodi जी?",defamation
"विकीलीक्स ने खुलासा किया है कि राउल विंची शादीशुदा है । इसके 2 बच्चे हैं जो लन्दन में रहते है । इसकी बीबी कोलंबियन है । पहली संतान 14 वर्ष का लड़का नियाक है और दूसरी सन्तान माइनक 10 साल की लड़की है । अविवाहित कहकर राहुल गांधी देश को गुमराह कर रहा है !

",fake
"छात्रों ने स्वीकार किया कि उन्होंने मदरसे में आतंकी गतिविधियों के लिए प्रशिक्षण प्राप्त किया है ।
हरियाणा में पकड़ा गया ये मुल्ला, निज़ामुद्दीन के जरिये कोरोना फैलाने का खोला राज, शेयर करके फेमस करने में मदद करें,
",fake
"यह कोई रामभक्त टॉमवक्त नहीं है..!यह सिर्फ दीपक शर्मा का भक्त है..!!
#गोपाल_हिंदुत्व_आतंकवादी",defamation
"देखना साहब एक दिन मोर को भी बेच देंगे

और कहेगे सही से उड़ नहीं रहा था..!🤣",defamation
"पति बेचारा भुजिया, साबुन, तेल बेंच के मुश्किल से पैसा कमाता है और हरामखोर बीबी उन पैसे को चरस-गाँजा में उड़ा देती है... थूंकता है भारत ऐसी कमीनी औरत पे.. https://t.co/aU1zhB9s9E",defamation
"मायावती सीधे सीधे राजस्थान में बीजेपी को सपोर्ट कर रही हैं वो बीजेपी जो दलित पर अत्याचार करते है ओर उनका अत्याचार इतना बड़ा है की राम मंदिर सिलान्यास में राष्ट्रपति रामनाथ कोविंद जी को तक आमंत्रण नहीं दिया 
क्योंकि वो दलित है
100 करोड़ की किस्त बहनजी के घर पहुंच गई
@RahulGandhi",defamation
"भारतीय सेना ने चीन के कर्नल को पकडा़ था और जब लौटाया तो साथ में 17 चीनी सैनिकों के शव भी वापस किये जिनकी गर्दन टूटी हुई थी ।

लेकिन चमचो को तो सच वही लगता है जो उनका मंदबुद्धि आका बोलता है। जिसको खुद नही मालूम कि वो बोलता क्या है",offensive
सचिन पायलट ने बीजेपी की सदस्यता ले ली है।,fake
"फैसले से निराश @MAofIndiaने ट्वीट किया,

‘दुनिया के बहुत से देशों ने थिएटर खोलने की अनुमति दे दी है. हम भारत सरकार से अपील करते हैं कि वह भारत में भी मूवी थिएटर्स खोलने की इजाजत दे. हम पूरी सुरक्षा और सेफ्टी के साथ लोगों को सिनेमा का एक्सपीरियंस देंगे.’

https://t.co/FRpMB5ROMx",non-hostile
फिल्मों का बहिष्कार करना चाहिए। आतंकवाद को बढ़ावा देते हैं। हमारी सेना का अपमान करते हैं। जिसे सेना के बारे में कुछ पता नहीं है उन्हें फिल्म बनाने का अधिकार किसने दिया।,hate
"वीडियो शाहरुख़ खान की फ़िल्म पठान का है

",fake
लॉकडाउन के चलते धरती की हालत ठीक हो रही है और ओजोन परत पर बना सबसे बड़ा छिद्र बंद हो गया है,fake
भारत में हर कोई बिकाऊ है खरीददार पैसा वाला होनी चाहिए चीफ जस्टिस खरीद लीजिए नेता मंत्री प्रधानमंत्री अधिकारी खरीद लीजिए आपके पास कीमत देने के लिए उचित रकम होनी चाहिए इन गद्दारों को सिर्फ पैसे से इंद्र की तरह जिंदगी जीना जानते हैं परियों के साथ ना तो देश से मतलब ना नागरिक से,defamation
"@poojas_saini: हम एक रहेंगे.... 
वो जलेंगे!! 

हिन्दू है हम! 🙏🚩",hate
"विकास को मुद्दा बना कर मोदी सरकार ने विकास के पतन की नींव रख दी थी, मुद्दा जनता की भूख है, रोजगार है, अर्थव्यवस्था है, अच्छी स्वास्थ्य व्यवस्थायें है, जनता का हित है।
विकास जुमला नहीं, एक प्रक्रिया है।
जो सब के साथ चलने से पूर्ण होती है।
मुद्दे वही के वहीं है और  ",hate
@iAnkurSingh @manoj419_ @msisodia ये एक नंबर के दोगले है आप पार्टी वाले इनसे ज्यादा मक्कार और कमीना कोई नही होगा ।,offensive
"और सबसे महत्वपूर्ण बात है कि ये बताया गया के सक्सेना को शौर्य चक्र नहीं मिला, जैसा की फ़िल्म में दिखाया गया है | यह एक बड़ी ग़लती है।

",fake
"#LoveJihad का एक और मामला आया सामने , युवती ने पत्रकार पर लगाया गंभीर आरोप 
 
https://t.co/oE1ACKLY5V",non-hostile
"केंद्रीय मंत्री अनुराग ठाकुर दावा करते हैं की उन्होंने कभी, देश के गद्दारों को गोली मारों सालों को नारा नहीं लगाया

",fake
"बॉलीवुड सिर्फ गलत चीज़ो को बढ़वा देने के लिए है। इनके लिए कभी देवी देवताओ पर तो कभी सेना पर मज़ाक करने की परंपरा बन चूका है। 
बहिष्कार करें सब मिल कर। ",offensive
ला़कडाउन की वजह से शादीशुदा महिलाओं की नौकरानी जैसी हैसियत हो गई है😀😀🤣😂😆😅😄,offensive
वुहान में कोरोनोवायरस को फैलने से रोकने के लिए चीन सरकार इस जानलेवा बीमारी से संक्रमित मरीजों को मार रही है।,fake
"जिन चूतियों को कांग्रेस के 60 साल के शासन के नुकसान समझ नहीं आये,

वो मोदी जी के 6 साल के फायदे क्या घन्टा समझ पाएंगे.🤔",hate
@SanjayAzadSln टिकट बिलेक करता है साले सूअर अब तू भोले-भाले किसानों को ब्लैकमेल नहीं कर सकता,offensive
"ये कौन सा आसन सिखा रहा है बे। लड़़कियों से प्रेम दिखाने के और सम्मान देने के भी एटीकेट्स होते हैं। महिला के गले में माला नहीं पहनाया जाता हाथ मे दिया जाता है सम्मान करते समय।

",fake
"वॉलमार्ट ने माइक्रोसॉफ्ट से मिलाया हाथ, साथ मिलकर खरीदेंगे टिकटॉक
https://t.co/1lRlHf1nxW via @NavbharatTimes 
#Walmart #Microsoft #TikTok https://t.co/q2ulfPiiXj",non-hostile
"मोदी जी अपनी 56 इंच वाली छवि बचाये रखने  के लिए चीन का नाम नही लिया जबकि राष्ट्रपति की क्या मजबूरी थी कि इशारों में कहा &amp; नाम लेने से बचे।
@INCIndia",non-hostile
"रवीश कुमार ने कहा की ""पंजाब में इतना बड़ा रेलवे हादसा हुआ है, क्या किसी की कोई जिम्मेदारी होगी या फिर वही जांच, वही लीपापोती। हमारे देश में लोगो के जान की कीमत इतनी सस्ती क्यों है।

",fake
"भारत में हर रोज़ कोरोना के रिकॉर्ड तोड़ मामले सामने आ रहे हैं. कुल मामले 42 लाख से ज़्यादा हो चुके हैं.

https://t.co/JKEWZhRP8L https://t.co/enmpB1UquQ",non-hostile
मोदी तेरे राज में केवल  गाय सुरक्षित हैं ना कि  किसी की मां बहन...,defamation
"चप्पल जूता पहनकर भूमि पूजन
वाह मोदी हे तो मुमकिन हैं 
नकली राम भक्त",offensive
"यह भारतीय सेना के सैनिकों द्वारा कश्मीरी मुसलमानों की पिटाई करने का वीडियो है।

",fake
"कपिल शर्मा शो का मैं पूर्ण बहिष्कार करती हूं क्योंकि उसका प्रोड्यूसर सलमान खान है मेरे साथ जो इस शो का बहिष्कार करेंगे वो yes लिखे|. 
 जिसने सुशांत के घर का दीप बुझाया उसके जीवन में अंधकार करदो।
#SolarEclipse2020",defamation
@aajtak @sajidalimarwadi हेड स्पीच के परिभाषा फेसबुक ने अपने तरीके से गढ़ा है जो पक्षपात करती है और झूठ को सच बनाती है और सच को  झूठ मेरी पॉपुलर से पॉपुलर आईडी ब्लॉक की है प्रधानमंत्री की टक्कर की आईडी  डिलीट की है मेरी कोई हेट स्पीच नहीं थी तथ्य के आधार पर थी फेसबुक चुनाव में बीजेपी को मदद पहुंचाई है,hate
मुझे तो ब्लाक करके भाग गये बहुत सारे शिखंडी सूवरो की औलाद यह भडवा शेख भौक रहा था मै नहीं भागूगा और अगर भागूगा तो खुद को रंडी की औलाद समझूगा और भाग गया 😃😅😀😂😄😆🤣 अब कोई क्या समझे इसको यह समझना बाकी है,offensive
साधु सनातन धर्म की नींव हैं यदि इनको न्याय नहीं मिल सकता तो हम सभी हिन्दुओं को भविष्य में किसी भी न्याय की अपेक्षा नहीं करनी चाहिए यदि साधुओं के स्थान पर कोई तबरेज होता तो बड़ा मुद्दा बना देते लेकिन अफसोस वो हिन्दू थे,hate
"@AMISHDEVGAN इस हरामी की सदस्यता रद्द होनी ही चाहिए ... bsdka टिकट ब्लैक करता था उसकी औकात उतनी ही थी ... कृपया इस कमीने के खिलाफ आवाज उठाये ... 

आप पार्टी थर्ड क्लास पार्टी",hate
"दंगा पीड़ितों की मदद हेतु
मुस्लिम

",fake
"RT @poojapalsp: सत्ता को अपनी जागीर समझने वाले यह भूल रहे है

 कि जनता ने उन्हें 5 साल के लिए संविदा पर चुना है।।

@Rhea_Ziddi @FOUNDERofMM…",hate
"डॉ कफील खान, जिन्हें नागरिकता संशोधन अधिनियम के विरुद्ध कथित भड़काऊ भाषण देने के चलते 29 जनवरी को भारतीय दंड संहिता के सेक्शन 153-A के अंतर्गत गिरफ्तार कर लिया गया था, को रिहा कर दिया गया है |
",fake
"किसानों का करजा माफ किया तो किसानों की आदत खराब हो जायेगी भाईयों आप भी देखो |

कि किसान का कर्ज़ा माफ़ नहीं करना चाहिए...कि अगर किसान का कर्ज़ा माफ़ किया तो किसान को..किसान की आदत ख़राब हो जाएगी

",fake
"आ देखें ज़रा, LAC पर किसमें है दम ?
अभी टेंट उखाड़े, सांसें भी उखाड़ी जाएंगी!
सिर्फ एक गोला, भड़केगा युद्ध का शोला!
अखंड भारत की 'भीष्म' प्रतिज्ञा

देखिए 7:27 PM @ZeeNews पर https://t.co/UogxqJbndg",non-hostile
"#RescueIndiaFromBJP
कांग्रेस के कुत्तों ने एक नारा दिया था इंदिरा ही इंडिया",offensive
वह नालायक नेता जो अपने बेटी के प्रति गलत निगाह डाल सकता वह अपने मां और बहन को कहा छोड़ सकता है,offensive
"बेगुनाह लालू यादव को जमानत नहीं,
हत्या बलात्कारी(कुलदीप सिंह सेंगर)को उम्रकैद में मिली ज़मानत,
हमनें पहले ही कहा था,बीजेपी बलात्कारियों को गंगाजल से पवित्र करके गोद में बिठा लेती है,,,///
#अकेला#",offensive
"आज जो आवाज़ नही उठाते वो कल पछतायेंगे,क्यूंकि आज हमारा खामोश रहना ही आने वाली पीढ़ी की गुलामी की ज़मानत है,और लोग आने वाले वक्त में कहेंगे की ज़माना ही खराब था क्या करते,लेकिन नस्लें पूछेंगी तुम खामोश क्यूं थे?",offensive
"कोरोनावायरस रोगियों के लिए क्रिस्टियानो रोनाल्डो के होटल अस्पताल में बदले जाएंगे

",fake
बेरोजगार दिवस के साथ मशाल जुलूस निकाले कैंडल मार्च निकाले तो कभी इंडिया गेट पर अपने राज्य की राजधानी में सोशल मीडिया पर भी लड़े सड़क पर भी मशाल जुलूस निकालकर विरोध दर्ज कराते  रहिए सांसदों को घेराव करें राज्य के मुख्यमंत्री को घेराव करें,hate
"यह केरल का मोइनुद्दीन है । उन्होंने 1989 में जेएनयू में प्रवेश लिया । यदि साल-दर साल उन्होंने बीए, एमए, एमफिल और फ़ीर पीएचडी में दाखिला लिया, तो उन्हें 2001 में जेएनयू छोड़ देना चाहिए था और काम करना शुरू कर देना चाहिए था ।

",fake
"दिल्ली के लोगों ने एक बार फिर डेंगू के ख़िलाफ़ जंग की शुरुआत कर दी है, अगले 10 हफ़्ते चलने वाले इस महाअभियान में आज पहले रविवार को मैंने भी अपने घर में जमा साफ़ पानी को बदला और मच्छर पैदा होने की सम्भावना को खत्म किया। 

#10Hafte10Baje10Minute
हर रविवार, डेंगू पर वार https://t.co/RSp5m7X1Q2",non-hostile
"हिन्दुत्व की जो नींव मोदीजी ने रखी है.
यकीन रखिए उसपर शानदार इमारत योगीजी ही खड़ी करेंगे.

सब उनका साथ देते रहें
 🚩जय श्री राम🚩
#रण_में_भगवाधारी",offensive
पहली बार इन मुस्लिम लड़कों को सब्जी-फ्रूट बेचते देखा। अब क्योंकि कोरोनावायरस फैल रहा है। तीन चार दिन से मैं न्यूज देख रहा हूं कि तब्लीगी जमात के लड़के क्वारेंटाइन में नहीं रहना चाहते हैं और भागना चाहते हैं। तो एक शंका पैदा होती है कि क्या वे भागकर हिंदू एरिया में जाकर कोरोना फैलाना चाहते हैं। आज मैंने 8 साल में पहली बार इन लोगों को फ्रूट और सब्जी बेचते देखा। शंका तब पैदा हुई जब एक टेम्पो वाला 40 रुपए के दो किलो प्याज बेच रहा था। शंका हुई कि यह सस्ता क्यों बेच रहा है। कोरोना बीमारी चल रही है अभी ज्यादा पैसे लेना है। तीन चार दिन से ऐसे वीडियो वायरल हो रहे हैं जिसमें मुस्लिम जो सब्जी बेच रहे हैं वो थूक लगाकर बेच रहे हैं। इसलिए शंका पैदा हो रही है। मैं अपने सभी हिंदू भाईयों को आगाह करना चाहता हूं। हम सबको एक होना पड़ेगा। हम एक हो जावें। अलर्ट हो जाएं। ये बहुत सेंसेटिव मामला है इसलिए मैं वीडियो नहीं बना रहा हूं सिर्फ ऑडियो बना रहा हूं।,fake
"@ansaaindus @Chetna33770998 @ShivamC70914439 @MohitCh76203174 @RahulGandhi सब बेच रहे साले बाप का माल समझकर 
और जब तुम्हारे समज आये तबतक तुम्हारे गा में बांबू गुस चुका होगा 
2014तक 42 लाख करोड कर्जा 60साल में हुआ बहुत तरक्की करके लेकिन 😡मोदीने 6सालमे 101 लाख करोड कर दिया इतना भ्रष्टाचार सोचो फिरभी बेच रहे हे या प्रायव्हेट कर रहे हे https://t.co/PHBAIylYmF",hate
